AGE,GENDER,CAREER,ACAD_LEVEL,ACAD_LOAD,HOURS_ENROLLED,ACAD_ORG,TRANSACTION_AMOUNT,TANSACTION_COUNT
63,Male,Undergraduate,Freshman,Less than Half-Time,3,SUNY at Brockport,3.66,19
26,Female,Undergraduate,Junior,Enrolled Half-Time,6,SUNY at Buffalo,1.3,13
22,Female,Undergraduate,Senior,Enrolled Full-Time,19,SUNY at Buffalo,45.25,5
22,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,1.2,8
23,Female,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,SUNY at Buffalo,2.55,5
25,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Education,2.45,10
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,15,College of Education,696.92,94
20,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,College of Health Professions,4.6,22
21,Male,Undergraduate,Junior,Enrolled Full-Time,12,Syracuse University,0,2
31,Female,Undergraduate,Junior,Less than Half-Time,2,Syracuse University,1.35,3
27,Male,Undergraduate,Senior,Enrolled Half-Time,8,College of Education,3.96,31
18,Female,Undergraduate,Sophomore,Enrolled Full-Time,14,Syracuse University,169.64,127
38,Female,Graduate,Graduate,Enrolled Half-Time,6,College of Education,19.13,5
21,Male,Undergraduate,Freshman,Enrolled Full-Time,13,Syracuse University,5.03,20
20,Female,Undergraduate,Sophomore,Less than Half-Time,4,Syracuse University,11.78,45
17,Female,Undergraduate,Sophomore,Enrolled Half-Time,8,SUNY at Brockport,135.21,45
28,Female,Undergraduate,Senior,Enrolled Full-Time,13,College of Business Administration,0.07,1
19,Male,Undergraduate,Junior,Enrolled Full-Time,14,College of Engineering,0,1
21,Female,Undergraduate,Senior,Enrolled Full-Time,15,Health Sciences & Human Services,23.16,44
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,21,SUNY at Brockport,180.03,33
20,Male,Undergraduate,Sophomore,Enrolled Full-Time,16,SUNY at Buffalo,2673.93,263
28,Female,Undergraduate,Senior,Enrolled Full-Time,14,College of Health Professions,18.64,33
24,Male,Undergraduate,Senior,Enrolled Full-Time,13,SUNY at Buffalo,1.75,10
19,Male,Undergraduate,Sophomore,Enrolled Full-Time,16,SUNY at Brockport,1826.09,200
23,Female,Undergraduate,Junior,Less than Half-Time,4,SUNY at Brockport,24.22,13
20,Female,Undergraduate,Sophomore,Enrolled Half-Time,7,SUNY at Brockport,1309.46,152
25,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,College of Engineering,0.1,6
22,Male,Undergraduate,5th Year Undergraduate,Enrolled Full-Time,12,College of Education,13.66,57
19,Female,Undergraduate,Freshman,Enrolled Full-Time,14,SUNY at Brockport,4.8,30
19,Female,Undergraduate,Sophomore,Enrolled Full-Time,12,College of Nursing,0.7,5
26,Male,Graduate,Graduate,Enrolled Full-Time,9,SUNY at Buffalo,2.3,9
21,Male,Undergraduate,Senior,Enrolled Full-Time,16,SUNY at Buffalo,0.67,2
20,Male,Undergraduate,Junior,Enrolled Full-Time,16,SUNY at Buffalo,1409.34,298
33,Female,Graduate,Graduate,Enrolled Full-Time,12,College of Education,5.47,14
19,Female,Undergraduate,Freshman,Enrolled Full-Time,12,SUNY at Buffalo,9.05,25
18,Female,Undergraduate,Freshman,Enrolled Full-Time,13,College of Health Professions,18.3,4
19,Female,Undergraduate,Freshman,Enrolled Full-Time,12,SUNY at Brockport,0.9,14
19,Female,Undergraduate,Junior,Enrolled Full-Time,15,SUNY at Brockport,6.77,45
37,Female,Undergraduate,Senior,Enrolled Full-Time,12,College of Health Professions,75.79,52
22,Female,Undergraduate,5th Year Undergraduate,Three Quarter Time,10,SUNY at Buffalo,7.7,16
21,Female,Undergraduate,Senior,No Unit Load,0,College of Engineering,3.86,25
21,Female,Undergraduate,Sophomore,Enrolled Full-Time,15,College of Education,34.36,69
53,Female,Undergraduate,Freshman,Enrolled Half-Time,7,Syracuse University,13.1,48
28,Male,Undergraduate,Junior,Less than Half-Time,3,Syracuse University,0.6,5
18,Male,Undergraduate,Freshman,Enrolled Full-Time,16,University College,2.45,10
22,Male,Undergraduate,Sophomore,Enrolled Full-Time,12,SUNY at Brockport,947.46,224
23,Male,Undergraduate,Senior,Enrolled Full-Time,15,Syracuse University,0.89,8
67,Male,Undergraduate,Freshman,Less than Half-Time,3,SUNY at Brockport,3.29,5
25,Male,Undergraduate,Senior,Enrolled Full-Time,15,College of Engineering,1.31,14
33,Male,Undergraduate,5th Year Undergraduate,Three Quarter Time,9,College of Business Administration,29.85,61
